Farmer_ID,Country,Age,Gender,Farm_Size,Crop_Type,Annual_Income_USD,Irrigation_Method,Education_Level,Years_of_Experience,Market_Access,Fertilizer_Use_kg_per_acre,Pesticide_Use_liters_per_acre,Yield_per_Acre_kg
54,Nepal,19,Female,Small (<2 acres),Wheat,13545,Drip,University,23,Local Market,18.76,19.22,9344
55,Sri Lanka,24,Female,Large (>10 acres),Rice,5466,Drip,College,48,Export,105.29,4.02,6403
56,Bangladesh,64,Male,Medium (2-10 acres),Maize,2828,Tube well,College,13,Export,249.81,7.75,8630
57,Nepal,40,Male,Medium (2-10 acres),Wheat,15640,Rain-fed,College,32,Local Market,85.47,1.01,5820
58,India,24,Female,Medium (2-10 acres),Maize,11371,Sprinkler,No formal education,16,Local Market,297.58,11.29,7640
59,Pakistan,63,Female,Large (>10 acres),Tomato,2099,Rain-fed,Secondary,20,Export,74.74,11.52,7996
60,Bangladesh,19,Female,Large (>10 acres),Potato,16904,Rain-fed,College,48,Regional Market,214.85,13.27,8427
61,Bangladesh,70,Male,Large (>10 acres),Sugarcane,2508,Drip,University,22,Regional Market,217.58,1.9,1664
62,Pakistan,48,Female,Large (>10 acres),Sugarcane,1313,Drip,No formal education,3,Regional Market,132.44,5.31,5860
63,Bangladesh,54,Male,Large (>10 acres),Wheat,1637,Canal,No formal education,11,Local Market,115.69,7.53,7564
64,Sri Lanka,42,Female,Small (<2 acres),Rice,6093,Canal,Primary,20,Local Market,80.3,5.64,4156
65,Nepal,29,Female,Large (>10 acres),Sugarcane,18880,Sprinkler,Secondary,19,Local Market,11.44,6.54,2810
66,India,47,Female,Small (<2 acres),Potato,8832,Rain-fed,Secondary,26,Local Market,187.54,14.61,6219
67,India,69,Female,Large (>10 acres),Wheat,19377,Drip,University,39,Local Market,37.43,17.85,708
68,Nepal,29,Male,Large (>10 acres),Cotton,11042,Sprinkler,Primary,8,Export,223.99,14.59,9658
69,Sri Lanka,38,Female,Small (<2 acres),Wheat,3775,Sprinkler,Primary,27,Local Market,81.75,5.67,919
70,Pakistan,66,Male,Medium (2-10 acres),Sugarcane,15856,Tube well,College,13,Regional Market,273.89,15.96,5340
71,Bangladesh,29,Male,Small (<2 acres),Potato,10829,Drip,University,6,Local Market,299.91,16.08,1602
72,Pakistan,34,Male,Small (<2 acres),Cotton,11393,Drip,No formal education,24,Export,92.47,15.97,8720
73,Bangladesh,40,Male,Small (<2 acres),Cotton,3087,Rain-fed,Secondary,7,Local Market,60.35,18.58,4063
74,Bangladesh,25,Female,Small (<2 acres),Sugarcane,10199,Sprinkler,Secondary,36,Regional Market,96.09,9.55,3162
75,Pakistan,33,Female,Small (<2 acres),Tomato,13920,Sprinkler,University,32,Export,13.79,1.67,4315
76,Nepal,46,Male,Small (<2 acres),Cotton,3019,Sprinkler,College,47,Local Market,276.93,1.4,5385
77,Bangladesh,60,Male,Small (<2 acres),Cotton,1470,Tube well,College,34,Local Market,151.58,12.0,6862
78,India,57,Male,Medium (2-10 acres),Rice,17469,Canal,University,38,Local Market,67.9,6.31,7162
79,Nepal,54,Male,Large (>10 acres),Tomato,3229,Drip,University,23,Export,120.26,14.14,9968
80,Bangladesh,57,Male,Medium (2-10 acres),Rice,14828,Canal,College,16,Regional Market,89.89,19.57,8980
81,Bangladesh,20,Male,Medium (2-10 acres),Tomato,10807,Sprinkler,University,49,Export,155.4,9.89,1377
82,Sri Lanka,42,Female,Medium (2-10 acres),Cotton,12574,Rain-fed,Primary,49,Regional Market,264.87,1.51,3242
83,Bangladesh,50,Male,Medium (2-10 acres),Potato,8481,Canal,College,19,Local Market,166.51,15.05,8350
84,Pakistan,32,Female,Medium (2-10 acres),Cotton,14341,Tube well,No formal education,30,Local Market,30.92,14.55,8061
85,India,47,Male,Medium (2-10 acres),Tomato,10626,Drip,University,47,Export,32.46,15.22,4228
86,Bangladesh,60,Male,Small (<2 acres),Sugarcane,17762,Sprinkler,Secondary,8,Regional Market,142.83,6.85,8871
87,Nepal,32,Female,Small (<2 acres),Potato,16000,Rain-fed,College,18,Local Market,235.96,1.45,8261
88,Bangladesh,42,Male,Large (>10 acres),Cotton,18315,Rain-fed,College,24,Local Market,131.58,7.69,8761
89,Pakistan,32,Male,Large (>10 acres),Sugarcane,12384,Tube well,University,10,Regional Market,172.47,17.1,8682
90,Bangladesh,46,Male,Small (<2 acres),Sugarcane,12797,Canal,University,27,Export,87.81,3.03,748
91,Bangladesh,39,Female,Large (>10 acres),Wheat,18541,Canal,Primary,48,Export,85.5,15.82,8090
92,Pakistan,60,Female,Small (<2 acres),Maize,14003,Sprinkler,Primary,33,Export,245.02,10.31,2740
93,Bangladesh,55,Male,Small (<2 acres),Sugarcane,19874,Sprinkler,University,16,Regional Market,248.68,3.89,2443
94,Pakistan,64,Female,Large (>10 acres),Cotton,7026,Sprinkler,No formal education,17,Local Market,52.95,13.97,5991
95,Nepal,48,Female,Large (>10 acres),Potato,5057,Sprinkler,College,30,Regional Market,76.32,15.88,8597
96,India,70,Female,Large (>10 acres),Rice,18212,Drip,No formal education,38,Export,85.63,0.98,2473
97,Bangladesh,52,Male,Small (<2 acres),Potato,10505,Sprinkler,No formal education,12,Local Market,105.42,17.01,2121
98,Pakistan,39,Male,Medium (2-10 acres),Rice,17613,Rain-fed,No formal education,50,Regional Market,57.6,5.86,3796
99,Pakistan,32,Female,Large (>10 acres),Sugarcane,19836,Canal,Primary,25,Export,208.38,0.84,8917
100,Nepal,51,Male,Medium (2-10 acres),Sugarcane,4982,Sprinkler,No formal education,49,Regional Market,189.83,5.13,7953
101,India,45,Female,Medium (2-10 acres),Potato,17148,Rain-fed,College,25,Export,74.3,19.08,1693
102,Nepal,43,Female,Large (>10 acres),Tomato,777,Drip,Secondary,48,Regional Market,159.52,10.2,9084
103,Bangladesh,62,Female,Small (<2 acres),Cotton,8225,Canal,College,39,Local Market,63.24,1.35,7744
104,India,67,Female,Medium (2-10 acres),Potato,9726,Tube well,Secondary,16,Regional Market,143.66,4.42,2679
105,Sri Lanka,58,Male,Medium (2-10 acres),Potato,11890,Tube well,No formal education,22,Regional Market,30.54,9.6,8342
106,Sri Lanka,68,Male,Medium (2-10 acres),Tomato,1051,Sprinkler,College,46,Export,61.16,0.77,4660
107,India,59,Female,Medium (2-10 acres),Cotton,13289,Rain-fed,Secondary,13,Regional Market,53.5,14.56,4845
108,Bangladesh,44,Male,Small (<2 acres),Cotton,19125,Canal,University,29,Regional Market,262.46,1.89,8825
109,Sri Lanka,27,Male,Small (<2 acres),Tomato,2925,Drip,College,30,Export,94.84,13.78,8824
110,Pakistan,29,Female,Small (<2 acres),Tomato,4511,Canal,College,28,Local Market,203.92,4.63,7985
111,India,39,Male,Medium (2-10 acres),Maize,7168,Sprinkler,Secondary,20,Export,244.03,12.36,2399
112,Nepal,29,Male,Large (>10 acres),Cotton,14224,Tube well,University,37,Export,263.22,11.04,6523
113,Sri Lanka,25,Female,Small (<2 acres),Potato,798,Canal,University,14,Regional Market,272.97,9.85,6279
114,Sri Lanka,62,Male,Small (<2 acres),Cotton,2020,Sprinkler,No formal education,44,Regional Market,208.25,13.64,4472
115,Sri Lanka,60,Male,Medium (2-10 acres),Maize,1883,Sprinkler,Secondary,5,Regional Market,201.18,17.45,1745
116,Sri Lanka,59,Male,Medium (2-10 acres),Sugarcane,13620,Rain-fed,Primary,34,Regional Market,164.41,17.06,6202
117,Bangladesh,32,Male,Large (>10 acres),Wheat,10389,Rain-fed,University,32,Local Market,124.34,1.02,5881
118,Bangladesh,34,Female,Medium (2-10 acres),Tomato,18674,Tube well,University,33,Regional Market,171.46,2.21,2301
119,India,37,Male,Large (>10 acres),Sugarcane,2482,Tube well,Primary,19,Export,81.73,7.73,6999
120,Sri Lanka,53,Female,Medium (2-10 acres),Tomato,3820,Sprinkler,No formal education,34,Local Market,177.19,10.11,7580
121,Pakistan,20,Male,Small (<2 acres),Maize,8745,Canal,No formal education,12,Export,33.52,5.04,5423
122,Bangladesh,68,Male,Small (<2 acres),Sugarcane,10271,Drip,University,19,Regional Market,99.94,18.89,4446
123,Sri Lanka,70,Male,Large (>10 acres),Potato,11869,Canal,College,24,Regional Market,232.54,1.07,1146
124,Nepal,27,Male,Medium (2-10 acres),Potato,15798,Tube well,College,35,Regional Market,61.57,17.5,6017
125,Sri Lanka,65,Male,Small (<2 acres),Tomato,5813,Tube well,University,30,Regional Market,96.83,13.21,843
126,Bangladesh,59,Male,Small (<2 acres),Rice,4506,Canal,University,14,Regional Market,199.91,2.23,3585
127,Bangladesh,53,Female,Small (<2 acres),Wheat,19875,Rain-fed,No formal education,8,Regional Market,283.19,15.46,4858
128,Bangladesh,43,Male,Medium (2-10 acres),Cotton,18075,Sprinkler,No formal education,31,Regional Market,272.41,8.83,1537
129,Nepal,68,Female,Large (>10 acres),Maize,17429,Canal,College,39,Regional Market,231.12,4.26,7171
130,Bangladesh,24,Female,Medium (2-10 acres),Wheat,10933,Sprinkler,University,3,Regional Market,12.06,16.68,4465
131,Sri Lanka,56,Male,Medium (2-10 acres),Rice,7087,Sprinkler,College,4,Export,199.54,5.11,954
132,Pakistan,48,Female,Large (>10 acres),Cotton,688,Canal,Secondary,27,Regional Market,231.17,4.5,2131
133,Bangladesh,43,Male,Medium (2-10 acres),Wheat,18963,Canal,Secondary,45,Local Market,297.12,2.94,8832
134,Bangladesh,59,Male,Small (<2 acres),Cotton,8576,Drip,College,15,Export,110.05,7.35,5056
135,Pakistan,43,Male,Medium (2-10 acres),Tomato,7675,Canal,Primary,12,Regional Market,98.08,15.53,3859
136,Pakistan,65,Male,Medium (2-10 acres),Sugarcane,10147,Sprinkler,No formal education,7,Regional Market,162.41,1.59,4030
137,India,21,Male,Large (>10 acres),Wheat,6947,Sprinkler,No formal education,26,Local Market,230.88,19.33,7735
138,Sri Lanka,69,Male,Small (<2 acres),Tomato,15322,Tube well,No formal education,13,Regional Market,29.89,10.67,4784
139,India,32,Male,Large (>10 acres),Maize,5123,Tube well,Secondary,29,Regional Market,298.32,11.65,7572
140,Pakistan,20,Male,Large (>10 acres),Potato,15876,Rain-fed,College,18,Local Market,99.44,4.01,9910
141,India,39,Female,Medium (2-10 acres),Rice,8285,Rain-fed,No formal education,18,Local Market,94.09,17.18,4888
142,Nepal,58,Female,Large (>10 acres),Maize,2462,Rain-fed,No formal education,20,Regional Market,217.57,13.59,3368
143,Sri Lanka,35,Female,Medium (2-10 acres),Wheat,14881,Canal,Primary,26,Local Market,207.0,12.37,9492
144,Pakistan,51,Male,Small (<2 acres),Cotton,9019,Rain-fed,University,40,Regional Market,272.78,12.15,1356
145,Pakistan,40,Female,Medium (2-10 acres),Wheat,2681,Sprinkler,Primary,12,Regional Market,265.89,14.45,2502
146,Nepal,54,Female,Small (<2 acres),Sugarcane,6459,Sprinkler,Secondary,3,Regional Market,294.5,8.28,677
147,Nepal,38,Male,Large (>10 acres),Rice,6989,Sprinkler,No formal education,28,Local Market,93.32,12.91,5996
148,Bangladesh,62,Male,Medium (2-10 acres),Maize,12959,Tube well,University,10,Regional Market,258.49,9.52,6214
149,Pakistan,64,Female,Large (>10 acres),Maize,15183,Canal,University,22,Local Market,252.78,8.5,3649
150,Sri Lanka,47,Male,Small (<2 acres),Rice,9959,Rain-fed,Secondary,1,Regional Market,148.79,3.96,5600
151,Nepal,47,Male,Small (<2 acres),Potato,17972,Canal,University,34,Regional Market,200.95,11.65,7732
152,Bangladesh,38,Female,Medium (2-10 acres),Rice,5945,Tube well,Secondary,46,Local Market,27.67,15.72,7316
153,Bangladesh,48,Male,Small (<2 acres),Potato,6412,Drip,College,19,Regional Market,287.35,9.84,3796
154,Nepal,31,Male,Small (<2 acres),Cotton,16085,Tube well,Secondary,33,Regional Market,290.53,10.94,3293
155,Pakistan,27,Female,Medium (2-10 acres),Rice,781,Rain-fed,Primary,37,Export,30.16,3.67,9252
156,Sri Lanka,54,Female,Medium (2-10 acres),Sugarcane,8069,Tube well,No formal education,6,Local Market,127.89,1.7,9713
157,Sri Lanka,39,Male,Medium (2-10 acres),Cotton,17775,Rain-fed,University,21,Local Market,90.39,0.7,7439
158,Bangladesh,29,Female,Medium (2-10 acres),Tomato,18266,Tube well,Secondary,48,Export,296.22,16.1,2776
159,Sri Lanka,35,Female,Small (<2 acres),Rice,2926,Rain-fed,College,49,Export,255.1,4.29,2351
160,India,38,Female,Small (<2 acres),Maize,2623,Canal,Primary,15,Regional Market,48.59,18.0,2560
161,Sri Lanka,53,Female,Large (>10 acres),Wheat,6197,Tube well,No formal education,9,Export,197.36,11.71,9641
162,Pakistan,21,Female,Small (<2 acres),Cotton,19397,Drip,University,1,Export,17.02,3.97,8976
163,Bangladesh,50,Male,Large (>10 acres),Maize,7127,Tube well,College,28,Regional Market,228.81,1.13,6932
164,Pakistan,53,Female,Small (<2 acres),Wheat,10612,Sprinkler,Primary,42,Export,120.69,17.84,8019
165,India,44,Male,Small (<2 acres),Rice,3387,Drip,College,20,Local Market,212.87,2.32,8755
166,Nepal,47,Male,Large (>10 acres),Wheat,6590,Rain-fed,No formal education,13,Export,217.22,6.64,9261
167,India,36,Female,Large (>10 acres),Wheat,949,Rain-fed,Secondary,23,Export,62.11,3.93,4078
168,Nepal,44,Female,Large (>10 acres),Maize,16023,Sprinkler,College,11,Local Market,271.77,2.33,6001
169,India,64,Female,Small (<2 acres),Maize,6465,Sprinkler,College,18,Export,11.84,18.43,4350
170,Sri Lanka,47,Female,Medium (2-10 acres),Sugarcane,17882,Drip,No formal education,11,Regional Market,185.78,5.0,1774
171,Nepal,34,Male,Medium (2-10 acres),Rice,5787,Sprinkler,Primary,29,Export,34.24,19.95,4415
172,Bangladesh,46,Male,Small (<2 acres),Maize,11413,Canal,No formal education,29,Export,34.54,19.92,9759
173,Sri Lanka,37,Female,Large (>10 acres),Sugarcane,17766,Rain-fed,Primary,41,Regional Market,119.06,2.06,6669
174,Sri Lanka,46,Female,Medium (2-10 acres),Potato,11298,Sprinkler,Primary,49,Local Market,292.34,17.19,2115
175,Sri Lanka,35,Female,Medium (2-10 acres),Sugarcane,8814,Tube well,Secondary,30,Export,84.63,16.28,4158
176,Sri Lanka,56,Male,Small (<2 acres),Maize,1067,Canal,No formal education,50,Export,148.97,16.42,5001
177,India,45,Female,Large (>10 acres),Maize,13674,Sprinkler,College,1,Regional Market,282.44,9.28,2547
178,Bangladesh,63,Female,Medium (2-10 acres),Maize,18113,Drip,College,38,Local Market,154.37,3.34,7344
179,India,36,Female,Large (>10 acres),Wheat,18534,Tube well,Secondary,12,Regional Market,147.84,3.37,4460
180,Sri Lanka,31,Female,Small (<2 acres),Potato,10994,Tube well,Primary,13,Export,113.62,18.42,6479
181,Bangladesh,21,Female,Medium (2-10 acres),Cotton,3628,Drip,Primary,32,Regional Market,291.06,11.92,1848
182,Sri Lanka,23,Female,Medium (2-10 acres),Maize,6106,Rain-fed,College,5,Regional Market,83.98,3.9,5401
183,Bangladesh,56,Male,Small (<2 acres),Tomato,16781,Canal,University,13,Local Market,156.76,16.33,3697
184,Pakistan,31,Female,Medium (2-10 acres),Wheat,15029,Canal,University,17,Regional Market,155.04,9.73,802
185,Pakistan,18,Male,Medium (2-10 acres),Sugarcane,13183,Drip,Secondary,44,Regional Market,153.1,16.09,9353
186,Nepal,70,Male,Small (<2 acres),Cotton,9771,Sprinkler,No formal education,35,Regional Market,121.86,8.03,4051
187,Pakistan,47,Female,Large (>10 acres),Rice,15295,Rain-fed,College,23,Export,239.82,12.3,5513
188,Bangladesh,23,Female,Large (>10 acres),Maize,13526,Sprinkler,No formal education,20,Local Market,75.66,3.01,2742
189,Bangladesh,30,Male,Large (>10 acres),Maize,16726,Rain-fed,No formal education,18,Export,253.01,3.7,2528
190,Bangladesh,36,Male,Small (<2 acres),Rice,3657,Canal,Primary,33,Local Market,159.96,4.15,6241
191,Nepal,69,Female,Small (<2 acres),Wheat,17615,Rain-fed,University,17,Export,23.05,7.61,1321
192,India,23,Male,Large (>10 acres),Potato,7653,Canal,No formal education,35,Local Market,201.72,14.48,1985
193,Bangladesh,45,Female,Medium (2-10 acres),Sugarcane,7485,Canal,College,45,Regional Market,272.45,2.62,1128
194,Sri Lanka,26,Male,Small (<2 acres),Rice,19848,Tube well,No formal education,41,Export,219.25,19.03,761
195,Sri Lanka,60,Female,Large (>10 acres),Wheat,13086,Rain-fed,College,18,Regional Market,204.19,15.39,4219
196,Pakistan,47,Female,Medium (2-10 acres),Maize,3086,Sprinkler,No formal education,18,Regional Market,256.84,2.02,6227
197,Bangladesh,19,Female,Small (<2 acres),Wheat,7994,Drip,College,6,Export,110.73,7.1,2149
198,Nepal,29,Female,Medium (2-10 acres),Potato,13154,Drip,University,6,Export,259.13,16.46,3604
199,Nepal,47,Male,Medium (2-10 acres),Maize,5595,Drip,College,14,Export,293.38,4.34,3942
200,Pakistan,66,Female,Small (<2 acres),Cotton,817,Rain-fed,College,3,Local Market,248.68,0.98,2914
201,Nepal,52,Male,Medium (2-10 acres),Maize,5572,Drip,College,3,Local Market,109.51,18.53,6161
202,Sri Lanka,64,Female,Large (>10 acres),Rice,2337,Tube well,College,49,Regional Market,186.98,0.52,7770
203,Bangladesh,37,Female,Medium (2-10 acres),Cotton,9162,Canal,University,26,Local Market,99.17,19.94,577
204,India,55,Female,Medium (2-10 acres),Rice,12571,Sprinkler,Primary,31,Regional Market,281.66,12.8,8115
205,Bangladesh,57,Female,Medium (2-10 acres),Maize,17420,Sprinkler,Primary,5,Local Market,64.72,4.87,4402
206,India,62,Male,Large (>10 acres),Wheat,3102,Tube well,College,37,Export,122.58,16.59,3167
207,Bangladesh,60,Female,Large (>10 acres),Maize,17707,Canal,Secondary,48,Regional Market,140.26,0.75,7398
208,Nepal,19,Female,Medium (2-10 acres),Cotton,15199,Tube well,University,18,Regional Market,233.31,16.9,6703
209,India,56,Male,Large (>10 acres),Sugarcane,5622,Drip,College,40,Local Market,259.41,5.54,2371
210,Nepal,38,Male,Large (>10 acres),Rice,13927,Sprinkler,Primary,27,Regional Market,185.67,3.71,8763
211,Sri Lanka,28,Female,Large (>10 acres),Rice,8970,Sprinkler,University,37,Local Market,170.78,17.76,7773
212,Pakistan,34,Male,Small (<2 acres),Sugarcane,2287,Tube well,University,3,Export,16.51,6.18,7137
213,Nepal,22,Male,Medium (2-10 acres),Rice,13119,Drip,Secondary,38,Regional Market,46.86,11.71,9723
214,Nepal,36,Male,Medium (2-10 acres),Wheat,9869,Rain-fed,Primary,49,Export,58.49,15.0,3027
215,Pakistan,70,Female,Small (<2 acres),Rice,19279,Tube well,College,11,Export,180.31,19.81,3196
216,Bangladesh,56,Male,Small (<2 acres),Cotton,10384,Rain-fed,Secondary,39,Export,215.82,11.16,2089
217,India,60,Female,Large (>10 acres),Sugarcane,7354,Rain-fed,Secondary,46,Local Market,270.79,14.83,1558
218,Pakistan,53,Female,Small (<2 acres),Sugarcane,5508,Sprinkler,College,48,Export,11.22,13.38,5606
219,India,32,Female,Small (<2 acres),Sugarcane,18222,Drip,University,6,Export,55.22,4.51,1972
220,Pakistan,33,Male,Medium (2-10 acres),Potato,8031,Rain-fed,Primary,46,Export,252.0,9.55,2362
221,Nepal,57,Female,Small (<2 acres),Cotton,10171,Sprinkler,Primary,43,Regional Market,219.88,1.28,1403
222,India,55,Male,Medium (2-10 acres),Sugarcane,4500,Sprinkler,Primary,34,Export,179.1,19.6,2433
223,India,31,Male,Small (<2 acres),Rice,10497,Tube well,College,15,Export,43.41,15.97,8304
224,Nepal,28,Male,Large (>10 acres),Tomato,10706,Rain-fed,Secondary,22,Export,222.39,14.76,2811
225,Sri Lanka,39,Male,Small (<2 acres),Sugarcane,3929,Rain-fed,Primary,45,Export,207.41,5.81,5326
226,Bangladesh,43,Female,Medium (2-10 acres),Wheat,19770,Drip,Secondary,13,Regional Market,159.2,1.35,6069
227,India,65,Male,Small (<2 acres),Rice,17887,Canal,College,20,Export,139.16,11.67,1460
228,Bangladesh,67,Male,Small (<2 acres),Rice,11425,Sprinkler,Secondary,14,Local Market,50.76,14.67,4152
229,Bangladesh,65,Male,Medium (2-10 acres),Maize,12365,Sprinkler,College,5,Export,43.75,9.26,2038
230,Bangladesh,18,Male,Small (<2 acres),Wheat,12331,Sprinkler,No formal education,18,Regional Market,30.65,17.24,4117
231,India,31,Female,Small (<2 acres),Rice,7448,Tube well,Primary,38,Export,261.63,17.08,6136
232,Pakistan,42,Female,Large (>10 acres),Potato,13218,Rain-fed,College,24,Local Market,48.96,9.46,8620
233,Sri Lanka,69,Male,Small (<2 acres),Wheat,6763,Canal,Secondary,49,Regional Market,258.33,4.11,817
234,Bangladesh,27,Male,Small (<2 acres),Rice,15881,Tube well,Primary,14,Export,197.15,14.39,3863
235,Sri Lanka,20,Female,Small (<2 acres),Rice,5396,Sprinkler,Secondary,24,Regional Market,29.08,15.77,6435
236,Nepal,28,Female,Small (<2 acres),Maize,13679,Sprinkler,College,44,Export,105.7,11.24,534
237,India,62,Female,Medium (2-10 acres),Sugarcane,15571,Sprinkler,College,44,Export,14.58,4.49,5323
238,India,70,Female,Small (<2 acres),Sugarcane,11591,Tube well,Secondary,41,Regional Market,58.36,16.9,7307
239,Sri Lanka,29,Male,Large (>10 acres),Maize,615,Rain-fed,Primary,11,Export,197.87,14.64,6057
240,India,43,Male,Medium (2-10 acres),Sugarcane,5429,Tube well,University,27,Regional Market,30.16,4.09,4505
241,Pakistan,20,Female,Small (<2 acres),Maize,12890,Canal,College,22,Export,19.7,12.71,7052
242,Bangladesh,60,Female,Large (>10 acres),Rice,7161,Drip,No formal education,40,Export,103.72,12.04,7867
